S1,S2,S3,S4,S5,S6,S7,S8,Pos,Target
22,23,19,18,24,20,19,22,0,Relax
21,22,21,20,24,19,19,20,0,Relax
19,21,19,21,25,19,19,19,0,Relax
18,23,19,25,24,19,19,19,0,Relax
17,21,23,24,22,21,19,21,0,Relax
19,21,22,25,21,20,20,21,0,Relax
19,21,21,25,22,20,20,21,0,Relax
23,23,20,22,20,22,18,23,0,Relax
21,23,19,19,21,23,19,24,0,Relax
21,21,21,20,20,23,20,24,0,Relax
19,20,20,20,22,23,20,22,0,Relax
18,20,22,20,19,23,20,22,0,Relax
19,19,22,21,20,23,20,21,0,Relax
19,20,22,22,20,22,19,20,0,Relax
20,19,21,21,21,22,19,20,0,Relax
20,20,21,22,21,23,19,21,0,Relax
20,20,21,22,22,24,19,23,0,Relax
21,21,22,24,20,24,19,22,0,Relax
21,21,22,24,20,23,20,23,0,Relax
23,22,23,22,21,26,21,21,0,Relax
22,22,25,22,21,24,21,18,0,Relax
22,22,24,22,21,23,19,18,0,Relax
21,21,22,20,21,21,21,18,0,Relax
20,21,23,21,21,23,20,18,0,Relax
19,19,22,20,20,21,19,19,0,Relax
18,19,21,20,21,22,19,20,0,Relax
20,23,19,23,23,22,22,23,0,Relax
21,23,20,20,23,22,21,22,0,Relax
20,21,21,22,22,22,21,21,0,Relax
20,19,20,20,22,22,20,20,0,Relax
21,19,21,20,23,22,20,20,0,Relax
21,20,22,22,24,22,20,21,0,Relax
21,19,21,23,23,22,23,23,0,Relax
20,18,21,22,24,22,22,24,0,Relax
23,20,22,23,24,20,23,23,0,Relax
21,21,20,22,21,20,19,19,0,Relax
22,21,21,23,20,21,18,19,0,Relax
22,21,21,21,21,22,18,21,0,Relax
22,20,20,22,21,24,19,22,0,Relax
22,21,20,22,21,26,19,22,0,Relax
20,20,22,22,21,25,21,23,0,Relax
21,20,21,20,21,24,21,22,0,Relax
21,19,21,22,20,24,22,23,0,Relax
19,23,19,21,21,19,19,20,0,Relax
18,23,20,20,23,20,18,20,0,Relax
19,22,21,23,23,19,18,19,0,Relax
19,23,22,23,22,20,18,22,0,Relax
19,21,21,23,22,21,18,24,0,Relax
20,19,21,23,22,23,19,23,0,Relax
21,19,20,25,23,22,21,22,0,Relax
23,18,20,22,23,24,20,22,0,Relax
24,16,22,24,24,23,19,20,0,Relax
20,20,22,20,22,23,20,21,0,Relax
